Dataset,Method,Metric,BootstrapRepetitions,Mean,Std,CI95_L,CI95_U
External_Public_Stations,PRIME_NoDemand,Regret_at_10_percent,1000,0.3567294452355704,0.022339301181926997,0.3154232995000758,0.40225105287077717
External_Public_Stations,Ridge_CommonCore,NDCG_full,1000,0.904768009021992,0.004313329597896585,0.8957074209128367,0.9129489123398926
External_Public_Stations,Ridge_CommonCore,NDCG_at_10_percent,1000,0.5974343559727391,0.025421164467786552,0.5461951698758122,0.6423763196524945
External_Public_Stations,Ridge_CommonCore,TopKAgreement_at_10_percent,1000,0.12701739130434783,0.030552438290780935,0.06956521739130435,0.19130434782608696
External_Public_Stations,Ridge_CommonCore,Spearman,1000,-0.011475893864295185,0.028840759862948824,-0.06605644890618824,0.044287477899442304
External_Public_Stations,Ridge_CommonCore,KendallTau,1000,-0.007726860822118712,0.019727088073423635,-0.04496763940096558,0.030179190146465553
External_Public_Stations,Ridge_CommonCore,PairwiseAccuracy,1000,0.4962274427582314,0.01563898411445853,0.46361799964595507,0.5257316231241597
External_Public_Stations,Ridge_CommonCore,Regret_at_10_percent,1000,0.2862679786396001,0.02128770834530164,0.24788975534010016,0.3300062566277836
External_Public_Stations,Random,NDCG_full,1000,0.8930488789039543,0.005006676897955936,0.8830128631737418,0.9028591100010309
External_Public_Stations,Random,NDCG_at_10_percent,1000,0.4784197496263078,0.027845140765425463,0.4259271126784935,0.5323960832553984
External_Public_Stations,Random,TopKAgreement_at_10_percent,1000,0.08181739130434784,0.02649107279100164,0.034782608695652174,0.1391304347826087
External_Public_Stations,Random,Spearman,1000,-0.0013551003066197252,0.030102937009231924,-0.06110438237117385,0.05863500435159504
External_Public_Stations,Random,KendallTau,1000,-0.0013926742124000554,0.020434748528628123,-0.04158612990592359,0.039733821626913975
External_Public_Stations,Random,PairwiseAccuracy,1000,0.49967320525723447,0.015442008976634876,0.469930664207085,0.5312353913530413
External_Public_Stations,Random,Regret_at_10_percent,1000,0.37296398939554615,0.022265209936777997,0.32958773291925475,0.4176414558400243
External_PaloAlto_Usage,PRIME_DemandHead,NDCG_full,1000,0.8626022060638708,0.04393937040060463,0.7740232637319492,0.9397194898159967
External_PaloAlto_Usage,PRIME_DemandHead,NDCG_at_10_percent,1000,0.6060951831985449,0.14534221532005556,0.31224725907333883,0.874653016094242
External_PaloAlto_Usage,PRIME_DemandHead,TopKAgreement_at_10_percent,1000,0.1765,0.17854867579914904,0.0,0.5
External_PaloAlto_Usage,PRIME_DemandHead,Spearman,1000,0.4262379364137887,0.13967715744243028,0.099928900501773,0.6704480699914317
External_PaloAlto_Usage,PRIME_DemandHead,KendallTau,1000,0.35975893199697695,0.11792483093947237,0.08463852228992423,0.5664573768350389
External_PaloAlto_Usage,PRIME_DemandHead,PairwiseAccuracy,1000,0.6026935716612642,0.05090256459285727,0.49642661626694473,0.7014388489208633
External_PaloAlto_Usage,PRIME_DemandHead,Regret_at_10_percent,1000,0.3616363636363637,0.130597135711764,0.1097537878787879,0.6136363636363636
External_PaloAlto_Usage,Source_DirectPriorityHead,NDCG_full,1000,0.8480744628818797,0.03755126334175424,0.7692728925602933,0.9166755443372631
