Variant,Metric,Mean,Std,CI95_L,CI95_U,N
NoIRE_Conv,MAP@100,0.009314695867877606,0.003386480921866984,0.00510982442659147,0.013519567309163743,5
NoIRE_Conv,Recall@100,0.098,0.014832396974191324,0.07958314667008015,0.11641685332991986,5
NoIRE_Conv,HitRate@100,1.0,0.0,1.0,1.0,5
NoIRE_Conv,TopKOverlap@100,0.098,0.014832396974191324,0.07958314667008015,0.11641685332991986,5
NoIRE_Conv,Regret@100,0.35030444260686633,0.019747303872003,0.32578492632741035,0.3748239588863223,5
NoIRE_Conv,NDCG_full,0.9160103917347839,0.0010796766196043157,0.9146697961465189,0.917350987323049,5
NoIRE_Conv,NDCG@10pct,0.5674872863605429,0.015086739706418268,0.548754624816812,0.5862199479042738,5
NoIRE_Conv,P@10pct,0.09948994899489949,0.016431402724636442,0.07908766779173114,0.11989223019806784,5
NoIRE_Conv,Spearman,0.012382903138514405,0.032827202015597245,-0.028377451766014816,0.05314325804304362,5
NoIRE_Conv,KendallTau,0.007764887649196447,0.021527574620750382,-0.018965126726034405,0.0344949020244273,5
NoIRE_Conv,PairwiseAccuracy,0.50216,0.01715074342412014,0.48086453934784007,0.52345546065216,5
PointwiseRanking,ParameterCount,14325.0,0.0,14325.0,14325.0,5
PointwiseRanking,ModelMemoryMB,0.054645538330078125,0.0,0.054645538330078125,0.054645538330078125,5
PointwiseRanking,TrainingTime_seconds,0.7315466000000015,0.13583183207946653,0.5628891042968684,0.9002040957031345,5
PointwiseRanking,Latency_ms_per_station,0.02262327998319074,0.0018572985796954785,0.020317139202867877,0.024929420763513604,5
PointwiseRanking,NDCG@10,0.5255523703242776,0.0684273747767836,0.4405885625723489,0.6105161780762063,5
PointwiseRanking,MAP@10,0.0,0.0,0.0,0.0,5
PointwiseRanking,Recall@10,0.0,0.0,0.0,0.0,5
PointwiseRanking,HitRate@10,0.0,0.0,0.0,0.0,5
PointwiseRanking,TopKOverlap@10,0.0,0.0,0.0,0.0,5
PointwiseRanking,Regret@10,0.4588444364070893,0.05999642426404752,0.38434903637746254,0.533339836436716,5
PointwiseRanking,NDCG@25,0.5502966083545127,0.03381695178910675,0.5083073167889863,0.592285899920039,5
PointwiseRanking,MAP@25,0.0017613599215429879,0.0010653827994197473,0.000438512455197943,0.0030842073878880327,5
PointwiseRanking,Recall@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
PointwiseRanking,HitRate@25,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
PointwiseRanking,TopKOverlap@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
PointwiseRanking,Regret@25,0.41037332772463564,0.021587686829584847,0.38356867418384255,0.43717798126542873,5
PointwiseRanking,NDCG@50,0.5621683588493858,0.025201708493566368,0.5308763047196983,0.5934604129790733,5
PointwiseRanking,MAP@50,0.004595467484868481,0.0029983007007763325,0.0008725854489253851,0.008318349520811577,5
PointwiseRanking,Recall@50,0.06,0.034641016151377546,0.016987497383639298,0.10301250261636069,5
PointwiseRanking,HitRate@50,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
PointwiseRanking,TopKOverlap@50,0.06,0.034641016151377546,0.016987497383639298,0.10301250261636069,5
PointwiseRanking,Regret@50,0.3868755540288985,0.027259359952192006,0.35302858816218413,0.4207225198956129,5
PointwiseRanking,NDCG@100,0.582483946562799,0.011789031019995169,0.5678459311715636,0.5971219619540344,5
PointwiseRanking,MAP@100,0.010990146714623733,0.003888721650745516,0.006161661041857504,0.01581863238738996,5
PointwiseRanking,Recall@100,0.098,0.01643167672515498,0.0775973785802523,0.11840262141974771,5
PointwiseRanking,HitRate@100,1.0,0.0,1.0,1.0,5
PointwiseRanking,TopKOverlap@100,0.098,0.01643167672515498,0.0775973785802523,0.11840262141974771,5
PointwiseRanking,Regret@100,0.34897110968269407,0.007056524791049931,0.34020927689721503,0.3577329424681731,5
PointwiseRanking,NDCG_full,0.9194298981611155,0.0034297089897739014,0.9151713519841975,0.9236884443380335,5
PointwiseRanking,NDCG@10pct,0.5820509254760807,0.011455056079665345,0.5678275947445551,0.5962742562076063,5
PointwiseRanking,P@10pct,0.09742974297429743,0.016354219315616373,0.07712329763136794,0.11773618831722693,5
PointwiseRanking,Spearman,-0.00628629944699684,0.02436234662677186,-0.03653614816522043,0.02396354927122675,5
PointwiseRanking,KendallTau,-0.004110505362332048,0.01646605529995145,-0.024555813420714084,0.01633480269604999,5
PointwiseRanking,PairwiseAccuracy,0.49888000000000005,0.010745789873248028,0.48553733958212536,0.5122226604178748,5
