Method,Metric,Mean,Std,CI95_L,CI95_U,N
Pareto_Balanced,MAP@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,Recall@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,HitRate@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,TopKOverlap@10,0.0,0.0,0.0,0.0,5
Pareto_Balanced,Regret@10,0.34726665735244755,0.09649876153930008,0.22744761927784837,0.4670856954270467,5
Pareto_Balanced,NDCG@25,0.5943228053284276,0.07179939024919568,0.5051720873630188,0.6834735232938365,5
Pareto_Balanced,MAP@25,0.004,0.00223606797749979,0.0012235548948022015,0.006776445105197799,5
Pareto_Balanced,Recall@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,HitRate@25,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
Pareto_Balanced,TopKOverlap@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,Regret@25,0.3854577729701997,0.04738476731010886,0.3266218133379748,0.44429373260242455,5
Pareto_Balanced,NDCG@50,0.5735376757843194,0.029134957922654664,0.5373618474425774,0.6097135041260613,5
Pareto_Balanced,MAP@50,0.00264,0.001475804865149861,0.0008075462305694532,0.0044724537694305466,5
Pareto_Balanced,Recall@50,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,HitRate@50,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
Pareto_Balanced,TopKOverlap@50,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Pareto_Balanced,Regret@50,0.39525333139300345,0.0014608968851993797,0.39343938832556336,0.39706727446044354,5
Pareto_Balanced,NDCG@100,0.5876155464386197,0.004759566743744655,0.581705763765864,0.5935253291113753,5
Pareto_Balanced,MAP@100,0.02147381863498681,0.007198264031132786,0.012535993337964112,0.030411643932009506,5
Pareto_Balanced,Recall@100,0.1,0.0,0.1,0.1,5
Pareto_Balanced,HitRate@100,1.0,0.0,1.0,1.0,5
Pareto_Balanced,TopKOverlap@100,0.1,0.0,0.1,0.1,5
Pareto_Balanced,Regret@100,0.355428887695074,0.015712105031392518,0.3359197325415977,0.37493804284855037,5
Pareto_Balanced,NDCG_full,0.9222419529262597,0.004949553379770456,0.916096270687411,0.9283876351651084,5
Pareto_Balanced,NDCG@10pct,0.5847944796381233,0.004263224866439478,0.5795009868052183,0.5900879724710282,5
Pareto_Balanced,P@10pct,0.09738973897389738,0.003622792402789939,0.092891448074387,0.10188802987340777,5
Pareto_Balanced,Spearman,0.00948388419798737,0.020583916471403462,-0.016074423826587816,0.03504219222256256,5
Pareto_Balanced,KendallTau,0.0065093381000270205,0.013466733351049736,-0.0102118198753814,0.023230496075435442,5
Pareto_Balanced,PairwiseAccuracy,0.50676,0.00857134761866535,0.49611726624581365,0.5174027337541863,5
Random,NDCG@10,0.5428924559563637,0.11675291889172046,0.39792455988331,0.6878603520294174,5
Random,MAP@10,0.0,0.0,0.0,0.0,5
Random,Recall@10,0.0,0.0,0.0,0.0,5
Random,HitRate@10,0.0,0.0,0.0,0.0,5
Random,TopKOverlap@10,0.0,0.0,0.0,0.0,5
Random,Regret@10,0.4464444339275361,0.08799849578059923,0.33717986982067993,0.5557089980343922,5
Random,NDCG@25,0.55375463447596,0.06617708164354087,0.4715849346929839,0.635924334258936,5
Random,MAP@25,0.002308498519024835,0.0020840627488501024,-0.0002792071662199155,0.004896204204269585,5
Random,Recall@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Random,HitRate@25,0.8,0.44721359549995804,0.24471097896044014,1.3552890210395598,5
Random,TopKOverlap@25,0.032,0.01788854381999832,0.009788439158417612,0.05421156084158239,5
Random,Regret@25,0.4148177720308304,0.04304515745009659,0.36137014972803283,0.468265394333628,5
Random,NDCG@50,0.5678097061096649,0.02746368232961154,0.5337090405028813,0.6019103717164485,5
Random,MAP@50,0.0048324292699032855,0.003700136556926994,0.00023810291872939596,0.009426755621077174,5
Random,Recall@50,0.052000000000000005,0.017888543819998316,0.02978843915841762,0.0742115608415824,5
Random,HitRate@50,1.0,0.0,1.0,1.0,5
Random,TopKOverlap@50,0.052000000000000005,0.017888543819998316,0.02978843915841762,0.0742115608415824,5
Random,Regret@50,0.3836355535686017,0.0077230559148019585,0.37404611308307745,0.3932249940541259,5
Random,NDCG@100,0.5866746673598391,0.022832539515270336,0.558324325056163,0.6150250096635151,5
Random,MAP@100,0.021744715119915735,0.01707749148465786,0.0005402087637846817,0.04294922147604679,5
Random,Recall@100,0.10600000000000001,0.028809720581775868,0.07022800715529884,0.14177199284470118,5
Random,HitRate@100,1.0,0.0,1.0,1.0,5
Random,TopKOverlap@100,0.10600000000000001,0.028809720581775868,0.07022800715529884,0.14177199284470118,5
Random,Regret@100,0.3461666654795408,0.012742053325252736,0.33034531660238187,0.3619880143566997,5
Random,NDCG_full,0.9200625879674666,0.0058805200761075935,0.9127609578982494,0.9273642180366839,5
